Symbol	EPS Growth TTM YoY	Revenue Growth TTM YoY	Reported EPS FY	Estimated EPS FY	ROE	Target Price 1Y
NEE	47.30%	11.51%	3.71 USD	4.07 USD	15.58%	102.10 USD
CEG	21.38%	14.87%	9.39 USD	11.70 USD	16.33%	362.10 USD
ORI	32.95%	13.12%	3.15 USD	3.17 USD	17.25%	42.00 USD
TMDX	220.23%	30.24%	4.87 USD	2.03 USD	45.22%	119.10 USD
FRPT	1141.62%	12.01%	2.64 USD	1.78 USD	17.33%	80.73 USD
PMT	24.40%	23.64%	0.99 USD	1.21 USD	7.57%	12.29 USD
